,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,id_date,date,maximum temperature,minimum temperature,average temperature,precipitation,snow fall,snow depth,precipitation_n,snow fall_n,snow depth_n,hour,daily_trip_count,distance_km,coordinates_pickupp,coordinates_dropofff,index_right,NATName_p,BoroName_p,NATName_d,BoroName_d
12,id3361153,1,2016-03-11 07:11:23,2016-03-11 07:20:09,1,-73.99456024169923,40.750526428222656,-73.97850036621094,40.7561912536621,N,526,2016-03-11,2016-03-11,72,57,64.5,0,0,0,0.0,0.0,0.0,7,358,1.49223659884395,POINT (-73.99456024169923 40.750526428222656),POINT (-73.97850036621094 40.7561912536621),129,Midtown South-Flatiron-Union Square,Manhattan,Midtown-Times Square,Manhattan
13,id1870624,1,2016-01-05 15:29:54,2016-01-05 15:39:07,3,-73.9515151977539,40.77024841308594,-73.95852661132812,40.76151657104492,N,553,2016-01-05,2016-01-05,51,45,48.0,0.16,0.0,0,0.16,0.0,0.0,15,282,1.1363920041346272,POINT (-73.9515151977539 40.77024841308594),POINT (-73.95852661132812 40.76151657104492),139,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan
14,id3720663,1,2016-05-10 16:14:56,2016-05-10 16:40:19,1,-73.97776794433594,40.77407836914063,-73.9471435546875,40.77599334716797,N,1523,2016-05-10,2016-05-10,67,53,60.0,0,0,0,0.0,0.0,0.0,16,317,2.58752337443745,POINT (-73.97776794433594 40.77407836914063),POINT (-73.9471435546875 40.77599334716797),136,Upper West Side-Lincoln Square,Manhattan,Upper East Side-Yorkville,Manhattan
15,id3326491,2,2016-02-12 07:41:56,2016-02-12 07:51:15,1,-73.97964477539062,40.73963165283203,-73.99472808837889,40.72349548339844,N,559,2016-02-12,2016-02-12,51,40,45.5,0,0,0,0.0,0.0,0.0,7,353,2.1987803929476084,POINT (-73.97964477539062 40.73963165283203),POINT (-73.99472808837889 40.72349548339844),133,Murray Hill-Kips Bay,Manhattan,SoHo-Little Italy-Hudson Square,Manhattan
16,id3188770,1,2016-01-03 16:59:02,2016-01-03 17:04:50,1,-73.98513793945312,40.73219299316406,-73.98963928222656,40.72087478637695,N,348,2016-01-03,2016-01-03,52,39,45.5,0.00,0.0,0,0.0,0.0,0.0,16,276,1.3144468806206784,POINT (-73.98513793945312 40.73219299316406),POINT (-73.98963928222656 40.72087478637695),126,East Village,Manhattan,Lower East Side,Manhattan
17,id2662609,1,2016-04-10 19:11:03,2016-04-10 19:25:39,1,-73.96546936035155,40.765846252441406,-73.96095275878906,40.79692840576172,N,876,2016-04-10,2016-04-10,69,60,64.5,0,0,0,0.0,0.0,0.0,19,340,3.4770365147897575,POINT (-73.96546936035155 40.765846252441406),POINT (-73.96095275878906 40.79692840576172),140,Upper East Side-Carnegie Hill,Manhattan,Upper West Side-Manhattan Valley,Manhattan
18,id1939961,1,2016-05-07 13:18:52,2016-05-07 13:46:19,1,-73.97725677490233,40.77424621582031,-73.9900131225586,40.7326545715332,N,1647,2016-05-07,2016-05-07,86,69,77.5,0.66,0,0,0.66,0.0,0.0,13,407,4.747962784740767,POINT (-73.97725677490233 40.77424621582031),POINT (-73.9900131225586 40.7326545715332),155,Central Park,Manhattan,East Village,Manhattan
19,id1388344,2,2016-01-02 15:41:11,2016-01-02 16:01:39,2,-73.98233795166014,40.76280975341797,-73.98285675048828,40.748779296875,N,1228,2016-01-02,2016-01-02,59,44,51.5,0.01,0.0,2,0.01,0.0,2.0,15,268,1.5607274573684051,POINT (-73.98233795166014 40.76280975341797),POINT (-73.98285675048828 40.748779296875),130,Midtown-Times Square,Manhattan,Midtown-Times Square,Manhattan
20,id1040444,2,2016-01-07 17:01:32,2016-01-07 17:13:33,4,-73.9769515991211,40.75202178955078,-74.00121307373048,40.75161361694336,N,721,2016-01-07,2016-01-07,79,66,72.5,0.83,0,0,0.83,0.0,0.0,17,327,2.04417117368885,POINT (-73.9769515991211 40.75202178955078),POINT (-74.00121307373048 40.75161361694336),134,East Midtown-Turtle Bay,Manhattan,Chelsea-Hudson Yards,Manhattan
21,id0442192,1,2016-04-10 16:07:46,2016-04-10 16:10:40,1,-74.0063247680664,40.73339080810546,-74.00000762939453,40.743255615234375,N,174,2016-04-10,2016-04-10,69,60,64.5,0,0,0,0.0,0.0,0.0,16,340,1.2192200067755563,POINT (-74.0063247680664 40.73339080810546),POINT (-74.00000762939453 40.743255615234375),123,West Village,Manhattan,Chelsea-Hudson Yards,Manhattan
22,id0913838,2,2016-02-03 16:22:50,2016-02-03 16:37:20,5,-73.97833251953125,40.754070281982415,-73.95973205566406,40.77275848388672,N,870,2016-02-03,2016-02-03,55,29,42.0,0.14,0.0,0,0.14,0.0,0.0,16,335,2.6023574309413338,POINT (-73.97833251953125 40.754070281982415),POINT (-73.95973205566406 40.77275848388672),130,Midtown-Times Square,Manhattan,Upper East Side-Carnegie Hill,Manhattan
23,id3896508,2,2016-06-07 22:32:32,2016-06-07 22:46:06,1,-73.86338043212889,40.76988983154297,-73.83712768554686,40.72135925292969,N,814,2016-06-07,2016-06-07,91,75,83.0,0,0,0,0.0,0.0,0.0,22,325,5.831967732063271,POINT (-73.86338043212889 40.76988983154297),POINT (-73.83712768554686 40.72135925292969),233,LaGuardia Airport,Queens,Forest Hills,Queens
24,id0982165,2,2016-04-12 21:29:16,2016-04-12 21:49:06,1,-73.98031616210938,40.75885009765625,-74.01013946533203,40.70508193969727,N,1190,2016-04-12,2016-04-12,47,39,43.0,0,0,0,0.0,0.0,0.0,21,332,6.485380847228266,POINT (-73.98031616210938 40.75885009765625),POINT (-74.01013946533203 40.70508193969727),130,Midtown-Times Square,Manhattan,Financial District-Battery Park City,Manhattan
25,id1519515,2,2016-06-11 12:52:19,2016-06-11 13:12:10,1,-73.95049285888672,40.77126693725586,-74.0012435913086,40.746490478515625,N,1191,2016-06-11,2016-06-11,59,45,52.0,0,0,0,0.0,0.0,0.0,12,337,5.085448812609099,POINT (-73.95049285888672 40.77126693725586),POINT (-74.0012435913086 40.746490478515625),139,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan,Chelsea-Hudson Yards,Manhattan
26,id2934884,2,2016-01-07 19:32:15,2016-01-07 19:40:55,1,-73.98638916015625,40.756614685058594,-73.99979400634764,40.76163101196289,N,520,2016-01-07,2016-01-07,79,66,72.5,0.83,0,0,0.83,0.0,0.0,19,327,1.259304600694312,POINT (-73.98638916015625 40.756614685058594),POINT (-73.99979400634764 40.76163101196289),130,Midtown-Times Square,Manhattan,Hell's Kitchen,Manhattan
27,id1205949,1,2016-06-05 18:43:14,2016-06-05 18:46:52,1,-73.96260833740233,40.758827209472656,-73.95419311523438,40.76405334472656,N,218,2016-06-05,2016-06-05,54,48,51.0,0.54,0.0,0,0.54,0.0,0.0,18,304,0.9165330420277107,POINT (-73.96260833740233 40.758827209472656),POINT (-73.95419311523438 40.76405334472656),134,East Midtown-Turtle Bay,Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan
28,id0283075,1,2016-04-06 23:42:26,2016-04-07 00:12:08,1,-73.78247833251953,40.64464569091797,-73.9811248779297,40.72088623046875,N,1782,2016-04-06,2016-04-06,83,66,74.5,0.40,0.0,0,0.4,0.0,0.0,23,342,18.773486289174855,POINT (-73.78247833251953 40.64464569091797),POINT (-73.9811248779297 40.72088623046875),236,John F. Kennedy International Airport,Queens,East Village,Manhattan
29,id3333094,2,2016-06-02 23:34:00,2016-06-02 23:41:15,1,-73.9734649658203,40.755229949951165,-73.97736358642578,40.742820739746094,N,435,2016-06-02,2016-06-02,40,30,35.0,0.00,0.0,0,0.0,0.0,0.0,23,314,1.418385635734871,POINT (-73.9734649658203 40.755229949951165),POINT (-73.97736358642578 40.742820739746094),134,East Midtown-Turtle Bay,Manhattan,Murray Hill-Kips Bay,Manhattan
30,id2228940,1,2016-02-04 13:22:02,2016-02-04 13:40:30,1,-73.98186492919923,40.75877380371094,-73.97022247314453,40.784141540527344,N,1108,2016-02-04,2016-02-04,61,49,55.0,0.16,0.0,0,0.16,0.0,0.0,13,348,2.986288335819773,POINT (-73.98186492919923 40.75877380371094),POINT (-73.97022247314453 40.784141540527344),130,Midtown-Times Square,Manhattan,Upper West Side (Central),Manhattan
31,id3194108,1,2016-06-01 11:48:41,2016-06-01 12:19:07,1,-74.0050277709961,40.74645233154297,-73.97200775146483,40.74578094482422,N,1826,2016-06-01,2016-06-01,41,25,33.0,0.00,0.0,0,0.0,0.0,0.0,11,348,2.782684060089593,POINT (-74.0050277709961 40.74645233154297),POINT (-73.97200775146483 40.74578094482422),127,Chelsea-Hudson Yards,Manhattan,Murray Hill-Kips Bay,Manhattan
32,id3508035,2,2016-06-06 20:13:56,2016-06-06 20:45:20,6,-73.7881317138672,40.641460418701165,-73.97177124023438,40.749408721923835,N,1884,2016-06-06,2016-06-06,83,65,74.0,0.00,0.0,0,0.0,0.0,0.0,20,315,19.590081940870746,POINT (-73.7881317138672 40.641460418701165),POINT (-73.97177124023438 40.749408721923835),236,John F. Kennedy International Airport,Queens,Murray Hill-Kips Bay,Manhattan
33,id3277902,1,2016-04-09 15:04:31,2016-04-09 15:11:30,1,-73.97316741943358,40.75569915771485,-73.98865509033203,40.73699569702149,N,419,2016-04-09,2016-04-09,80,65,72.5,0,0,0,0.0,0.0,0.0,15,389,2.455107195385825,POINT (-73.97316741943358 40.75569915771485),POINT (-73.98865509033203 40.73699569702149),134,East Midtown-Turtle Bay,Manhattan,Gramercy,Manhattan
34,id2300865,1,2016-05-10 10:31:22,2016-05-10 10:35:25,1,-73.96588134765625,40.762840270996094,-73.96099090576173,40.7708740234375,N,243,2016-05-10,2016-05-10,67,53,60.0,0,0,0,0.0,0.0,0.0,10,317,0.9836821698323814,POINT (-73.96588134765625 40.762840270996094),POINT (-73.96099090576173 40.7708740234375),140,Upper East Side-Carnegie Hill,Manhattan,Upper East Side-Carnegie Hill,Manhattan
35,id3962434,2,2016-01-10 08:45:31,2016-01-10 08:51:44,2,-73.98927307128906,40.75648880004882,-74.00279998779298,40.760501861572266,N,373,2016-01-10,2016-01-10,62,56,59.0,0,0,0,0.0,0.0,0.0,8,324,1.2235962716652902,POINT (-73.98927307128906 40.75648880004882),POINT (-74.00279998779298 40.760501861572266),130,Midtown-Times Square,Manhattan,Chelsea-Hudson Yards,Manhattan
36,id0970832,1,2016-03-12 20:39:39,2016-03-12 21:05:40,1,-74.00824737548828,40.747352600097656,-73.97944641113281,40.71875,N,1561,2016-03-12,2016-03-12,47,41,44.0,T,0,0,0.05,0.0,0.0,20,368,4.00054986581208,POINT (-74.00824737548828 40.747352600097656),POINT (-73.97944641113281 40.71875),127,Chelsea-Hudson Yards,Manhattan,Lower East Side,Manhattan
37,id0935429,1,2016-05-02 06:58:06,2016-05-02 07:08:17,1,-73.99909210205078,40.74549102783203,-73.9785614013672,40.762325286865234,N,611,2016-05-02,2016-05-02,44,31,37.5,0.53,2.5,1,0.53,2.5,1.0,6,318,2.548451433599988,POINT (-73.99909210205078 40.74549102783203),POINT (-73.9785614013672 40.762325286865234),127,Chelsea-Hudson Yards,Manhattan,Midtown-Times Square,Manhattan
38,id3056417,2,2016-04-11 14:18:21,2016-04-11 14:34:33,1,-73.98435974121092,40.74271011352539,-73.98774719238281,40.75188827514648,N,972,2016-04-11,2016-04-11,61,47,54.0,0,0,0,0.0,0.0,0.0,14,316,1.059709481119669,POINT (-73.98435974121092 40.74271011352539),POINT (-73.98774719238281 40.75188827514648),132,Gramercy,Manhattan,Midtown-Times Square,Manhattan
39,id1796723,1,2016-02-09 15:54:53,2016-02-09 16:04:47,1,-73.99385833740233,40.73579788208008,-73.99462127685547,40.75046157836913,N,594,2016-02-09,2016-02-09,81,66,73.5,0,0,0,0.0,0.0,0.0,15,337,1.6317949797247557,POINT (-73.99385833740233 40.73579788208008),POINT (-73.99462127685547 40.75046157836913),122,Greenwich Village,Manhattan,Midtown South-Flatiron-Union Square,Manhattan
40,id0702030,1,2016-01-07 23:24:44,2016-01-07 23:26:25,1,-73.99929809570312,40.7495346069336,-74.00536346435547,40.743518829345696,N,101,2016-01-07,2016-01-07,79,66,72.5,0.83,0,0,0.83,0.0,0.0,23,327,0.8417462688782701,POINT (-73.99929809570312 40.7495346069336),POINT (-74.00536346435547 40.743518829345696),127,Chelsea-Hudson Yards,Manhattan,Chelsea-Hudson Yards,Manhattan
41,id3024438,2,2016-06-10 22:24:37,2016-06-10 22:41:58,1,-73.95372009277344,40.77529525756836,-73.99119567871094,40.726318359375,N,1041,2016-06-10,2016-06-10,73,55,64.0,0,0,0,0.0,0.0,0.0,22,337,6.294772011934354,POINT (-73.95372009277344 40.77529525756836),POINT (-73.99119567871094 40.726318359375),141,Upper East Side-Yorkville,Manhattan,East Village,Manhattan
42,id2307151,1,2016-02-07 18:08:06,2016-02-07 18:15:08,1,-73.96195220947266,40.80044555664063,-73.9784164428711,40.78279113769531,N,422,2016-02-07,2016-02-07,76,63,69.5,0,0,0,0.0,0.0,0.0,18,333,2.403078160133991,POINT (-73.96195220947266 40.80044555664063),POINT (-73.9784164428711 40.78279113769531),138,Upper West Side-Manhattan Valley,Manhattan,Upper West Side (Central),Manhattan
43,id2049424,2,2016-03-02 20:15:07,2016-03-02 20:37:43,1,-73.96389007568358,40.77365112304688,-74.00511169433594,40.75149154663086,N,1356,2016-03-02,2016-03-02,59,42,50.5,0.73,0.0,0,0.73,0.0,0.0,20,337,4.257283951740282,POINT (-73.96389007568358 40.77365112304688),POINT (-74.00511169433594 40.75149154663086),140,Upper East Side-Carnegie Hill,Manhattan,Chelsea-Hudson Yards,Manhattan
44,id0391524,1,2016-04-06 12:14:40,2016-04-06 12:33:18,1,-73.97864532470702,40.7480354309082,-73.97013092041014,40.76273727416992,N,1118,2016-04-06,2016-04-06,83,66,74.5,0.40,0.0,0,0.4,0.0,0.0,12,342,1.7851642375316823,POINT (-73.97864532470702 40.7480354309082),POINT (-73.97013092041014 40.76273727416992),133,Murray Hill-Kips Bay,Manhattan,Midtown-Times Square,Manhattan
45,id3942339,1,2016-01-05 17:58:04,2016-01-05 18:13:38,1,-73.97882843017578,40.75280380249024,-73.99103546142578,40.75041961669922,N,934,2016-01-05,2016-01-05,51,45,48.0,0.16,0.0,0,0.16,0.0,0.0,17,282,1.0618892017476989,POINT (-73.97882843017578 40.75280380249024),POINT (-73.99103546142578 40.75041961669922),130,Midtown-Times Square,Manhattan,Midtown South-Flatiron-Union Square,Manhattan
46,id1982306,2,2016-02-10 21:06:14,2016-02-10 21:09:23,2,-73.98493957519531,40.75185775756836,-73.9835433959961,40.744335174560554,N,189,2016-02-10,2016-02-10,63,57,60.0,0,0,0,0.0,0.0,0.0,21,357,0.8447012530982219,POINT (-73.98493957519531 40.75185775756836),POINT (-73.9835433959961 40.744335174560554),130,Midtown-Times Square,Manhattan,Midtown South-Flatiron-Union Square,Manhattan
47,id0038484,2,2016-03-09 13:41:11,2016-03-09 13:53:27,2,-73.97285461425781,40.76440048217773,-73.97180938720702,40.75788879394531,N,736,2016-03-09,2016-03-09,75,66,70.5,0,0,0,0.0,0.0,0.0,13,304,0.7293985799894174,POINT (-73.97285461425781 40.76440048217773),POINT (-73.97180938720702 40.75788879394531),140,Upper East Side-Carnegie Hill,Manhattan,East Midtown-Turtle Bay,Manhattan
48,id1734208,2,2016-04-11 10:44:32,2016-04-11 10:56:26,6,-73.99707794189453,40.72063827514648,-73.9996337890625,40.7458381652832,N,714,2016-04-11,2016-04-11,61,47,54.0,0,0,0,0.0,0.0,0.0,10,316,2.810363070503085,POINT (-73.99707794189453 40.72063827514648),POINT (-73.9996337890625 40.7458381652832),121,SoHo-Little Italy-Hudson Square,Manhattan,Chelsea-Hudson Yards,Manhattan
49,id0561467,1,2016-02-09 06:58:53,2016-02-09 07:12:28,1,-73.97254943847656,40.79401779174805,-73.95405578613281,40.766300201416016,N,815,2016-02-09,2016-02-09,81,66,73.5,0,0,0,0.0,0.0,0.0,6,337,3.453082951086314,POINT (-73.97254943847656 40.79401779174805),POINT (-73.95405578613281 40.766300201416016),137,Upper West Side (Central),Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan
50,id3092788,2,2016-03-03 22:01:32,2016-03-03 22:17:44,2,-73.98477172851561,40.7105712890625,-73.98941040039062,40.73014831542969,N,972,2016-03-03,2016-03-03,36,26,31.0,0.00,0.0,0,0.0,0.0,0.0,22,375,2.21168871363696,POINT (-73.98477172851561 40.7105712890625),POINT (-73.98941040039062 40.73014831542969),124,Chinatown-Two Bridges,Manhattan,East Village,Manhattan
51,id3677225,2,2016-01-09 15:07:03,2016-01-09 15:12:45,1,-73.96788024902342,40.759811401367195,-73.95382690429686,40.77888107299805,N,342,2016-01-09,2016-01-09,79,69,74.0,0.5,0,0,0.5,0.0,0.0,15,366,2.428357144789319,POINT (-73.96788024902342 40.759811401367195),POINT (-73.95382690429686 40.77888107299805),134,East Midtown-Turtle Bay,Manhattan,Upper East Side-Yorkville,Manhattan
52,id1552358,2,2016-04-01 07:55:30,2016-04-01 08:10:30,1,-73.97543334960938,40.75213241577149,-73.99078369140625,40.75094223022461,N,900,2016-04-01,2016-04-01,36,14,25.0,0.00,0.0,0,0.0,0.0,0.0,7,348,1.2997976930764228,POINT (-73.97543334960938 40.75213241577149),POINT (-73.99078369140625 40.75094223022461),134,East Midtown-Turtle Bay,Manhattan,Midtown South-Flatiron-Union Square,Manhattan
53,id1168234,1,2016-02-01 18:02:59,2016-02-01 18:13:30,1,-74.00020599365233,40.73784637451172,-74.00031280517578,40.72286605834961,N,631,2016-02-01,2016-02-01,40,32,36.0,0.00,0.0,0,0.0,0.0,0.0,18,284,1.6657594711450352,POINT (-74.00020599365233 40.73784637451172),POINT (-74.00031280517578 40.72286605834961),123,West Village,Manhattan,SoHo-Little Italy-Hudson Square,Manhattan
54,id3331830,1,2016-04-12 09:21:27,2016-04-12 09:35:56,1,-73.96486663818358,40.75579071044922,-73.9758071899414,40.757354736328125,N,869,2016-04-12,2016-04-12,47,39,43.0,0,0,0,0.0,0.0,0.0,9,332,0.937779448964081,POINT (-73.96486663818358 40.75579071044922),POINT (-73.9758071899414 40.757354736328125),134,East Midtown-Turtle Bay,Manhattan,Midtown-Times Square,Manhattan
55,id2671060,2,2016-04-07 08:44:32,2016-04-07 08:51:30,1,-73.95311737060547,40.77180099487305,-73.94792175292967,40.78314971923828,N,418,2016-04-07,2016-04-07,84,66,75.0,0.49,0,0,0.49,0.0,0.0,8,418,1.3356032654918666,POINT (-73.95311737060547 40.77180099487305),POINT (-73.94792175292967 40.78314971923828),139,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan,Upper East Side-Yorkville,Manhattan
56,id3620795,1,2016-01-01 10:45:24,2016-01-01 10:51:47,1,-74.0016098022461,40.74081039428711,-73.99622344970702,40.72590255737305,N,383,2016-01-01,2016-01-01,42,34,38.0,0.00,0.0,0,0.0,0.0,0.0,10,278,1.7186812274192562,POINT (-74.0016098022461 40.74081039428711),POINT (-73.99622344970702 40.72590255737305),127,Chelsea-Hudson Yards,Manhattan,Greenwich Village,Manhattan
57,id2282206,1,2016-01-04 16:32:42,2016-01-04 16:51:19,2,-73.9621810913086,40.81072616577149,-73.99483489990233,40.752811431884766,N,1117,2016-01-04,2016-01-04,79,61,70.0,0.02,0.0,0,0.02,0.0,0.0,16,262,7.002164042479159,POINT (-73.9621810913086 40.81072616577149),POINT (-73.99483489990233 40.752811431884766),142,Morningside Heights,Manhattan,Chelsea-Hudson Yards,Manhattan
58,id0591292,1,2016-06-09 18:43:04,2016-06-09 19:07:11,1,-73.98696899414062,40.74285125732422,-73.9942855834961,40.761356353759766,N,1447,2016-06-09,2016-06-09,80,71,75.5,T,0,0,0.05,0.0,0.0,18,361,2.147988956738101,POINT (-73.98696899414062 40.74285125732422),POINT (-73.9942855834961 40.761356353759766),129,Midtown South-Flatiron-Union Square,Manhattan,Hell's Kitchen,Manhattan
59,id2326430,2,2016-06-10 22:06:53,2016-06-10 22:23:14,1,-73.95687866210938,40.77487182617188,-73.93650817871094,40.85718536376953,N,981,2016-06-10,2016-06-10,73,55,64.0,0,0,0,0.0,0.0,0.0,22,337,9.311996442772893,POINT (-73.95687866210938 40.77487182617188),POINT (-73.93650817871094 40.85718536376953),140,Upper East Side-Carnegie Hill,Manhattan,Washington Heights (North),Manhattan
60,id3048297,2,2016-04-06 08:53:11,2016-04-06 09:14:08,1,-73.97279357910156,40.75559616088867,-73.87312316894531,40.77445602416992,N,1257,2016-04-06,2016-04-06,83,66,74.5,0.40,0.0,0,0.4,0.0,0.0,8,342,8.652076925795859,POINT (-73.97279357910156 40.75559616088867),POINT (-73.87312316894531 40.77445602416992),134,East Midtown-Turtle Bay,Manhattan,LaGuardia Airport,Queens
61,id3649509,1,2016-04-02 14:46:23,2016-04-02 15:06:44,2,-74.00554656982422,40.70926284790039,-73.97014617919923,40.762741088867195,N,1221,2016-04-02,2016-04-02,59,44,51.5,T,0.0,0,0.05,0.0,0.0,14,373,6.652612430020308,POINT (-74.00554656982422 40.70926284790039),POINT (-73.97014617919923 40.762741088867195),118,Financial District-Battery Park City,Manhattan,Midtown-Times Square,Manhattan
62,id1783063,2,2016-04-06 12:24:22,2016-04-06 12:40:02,2,-73.98464965820312,40.74597930908203,-73.97737884521484,40.75965118408203,N,940,2016-04-06,2016-04-06,83,66,74.5,0.40,0.0,0,0.4,0.0,0.0,12,342,1.6389728929393181,POINT (-73.98464965820312 40.74597930908203),POINT (-73.97737884521484 40.75965118408203),129,Midtown South-Flatiron-Union Square,Manhattan,Midtown-Times Square,Manhattan
63,id3363012,2,2016-04-12 20:22:49,2016-04-12 20:24:55,1,-73.96196746826173,40.77008056640625,-73.96077728271484,40.77505111694336,N,126,2016-04-12,2016-04-12,47,39,43.0,0,0,0,0.0,0.0,0.0,20,332,0.5617135921596678,POINT (-73.96196746826173 40.77008056640625),POINT (-73.96077728271484 40.77505111694336),140,Upper East Side-Carnegie Hill,Manhattan,Upper East Side-Carnegie Hill,Manhattan
